 ,,,,,Current,,,,,,,,,,,,,,,First Projection,,,,,,,,,,,,,,,Second Projection,,,,,,,,,,,,,,,,
,,,,,Population Analysed,,,Phase 1 (Minimal/None),,Phase 2 (Stressed),,Phase 3 (Crisis),,Phase 4 (Emergency),,Phase 5 (Famine/Catastrophe) / Elevated Risk of Famine,,Phase 3 & higher,,Population Analysed,,,Phase 1 (Minimal/None),,Phase 2 (Stressed),,Phase 3 (Crisis),,Phase 4 (Emergency),,Phase 5 (Famine/Catastrophe) / Elevated Risk of Famine,,Phase 3 & higher,,Population Analysed,,,Phase 1 (Minimal/None),,Phase 2 (Stressed),,Phase 3 (Crisis),,Phase 4 (Emergency),,Phase 5 (Famine/Catastrophe) / Elevated Risk of Famine,,Phase 3 & higher,,,
Region,Country,Type,Country Population ,Date of Analysis,#,% of total country pop,Analysis period,Population,(%),Population,(%),Population,(%),Population,(%),Population,(%),Population,(%),#,% of total country pop,Analysis period,Population, (%),Population, (%),Population,(%),Population, (%),Population, (%),Population,(%),#,% of total country pop,Analysis Period,Population,(%),Population,(%),Population,(%),Population,(%),Population,(%),Population,(%),Online,S-Drive
Asia,Afghanistan,IPC,"38,042,000",Sep 2019,"30,725,560",81%,Aug - Oct 2019,"10,118,714",33%,"10,374,605",34%,"7,793,849",25%,"2,438,392",8%,0 ,0%,"10,232,241",33%,"30,725,560",81%,Nov 2019 - Mar 2020,"9,978,015",32%,"9,450,138",31%,"8,602,449",28%,"2,694,957",9%,0 ,0%,"11,297,406",37%,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1152215/,
Asia,Afghanistan,IPC,"34,677,000",Sep 2018,"22,567,065",65%,Aug - Oct 2018,"5,851,033",26%,"6,877,624",30%,"7,255,036",32%,"2,583,371",11%,0 ,0%,"9,838,407",44%,"22,567,065",65%,Nov 2018 - Feb 2019,"5,153,244",23%,"6,785,308",30%,"7,731,348",34%,"2,897,164",13%,0 ,0%,"10,628,512",47%,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1151733/,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ASIA\Afghanistan\Communication templates\2018
Asia,Afghanistan,IPC,"34,677,000",Feb 2018,"3,926,777",11%,Nov 2017 - Feb 2018,"1,099,982",28%,"1,524,747",39%,"891,453",23%,"410,594",10%,0 ,0%,"1,302,047",33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1139563/,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ASIA\Afghanistan\Communication templates\2018
Asia,Afghanistan,IPC,"34,677,000",Oct 2017,"29,003,956",84%,Aug - Nov 2017,"11,452,456",39%,"9,945,689",34%,"5,710,868",20%,"1,894,944",7%,0 ,0%,"7,605,812",26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1072518/,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ASIA\Afghanistan\Communication templates\2017
Asia,Afghanistan,IPC,"34,677,000",May 2017,"2,991,169",9%,May - Jul 2017,"1,085,103",36%,"1,143,324",38%,"477,363",16%,"285,379",10%,0 ,0%,"762,742",25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1072521/,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ASIA\Afghanistan\Communication templates\2017
Asia,Afghanistan,IPC,"33,736,000",Jul 2016,"26,490,799",79%,Apr - Jun 2016,"11,452,312",43%,"6,580,218",25%,"6,752,721",25%,"1,705,547",6%,0 ,0%,"8,458,268",32%,"26,490,799",79%,Jul - Dec 2016,"13,489,387",51%,"8,669,169",33%,"3,485,595",13%,"813,422",3%,0 ,0%,"4,299,017",16%,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459678/,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ASIA\Afghanistan\Communication templates\2016\Acute Com_Temp
Asia,Afghanistan,IPC,"33,736,000",Aug 2015,"27,101,365",80%,Sep - Nov 2015,"16,824,039",62%,"7,811,380",29%,"2,254,409",8%,"211,537",1%,0 ,0%,"2,465,946",9%,"10,229,680",30%,Nov 2015 - Mar 2016,"4,612,052",45%,"3,095,412",30%,"1,973,019",19%,"549,197",5%,0 ,0%,"2,522,216",25%,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459631/,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ASIA\Afghanistan\Communication templates\2015\Acute Com_Temp
